community_id,community_name,community_handle,collection_id,collection_name,collection_handle,College Affiliation,Department Affiliation,Other Affiliation,Admin_Set,Admin_Set_ID,Comments
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,544,Aquaculture (IIFET 2000),1957/30469,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,539,Conference Materials (IIFET 2000),1957/30462,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,536,Conference Papers and Presentations (IIFET 2000),1957/30214,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,540,Fish and Aquaculture Sectors' Development (IIFET 2000),1957/30464,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,541,Fishery Management (IIFET 2000),1957/30466,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,545,Fishing Sector Behavior and Activities (IIFET 2000),1957/30470,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,542,Markets and Trade (IIFET 2000),1957/30467,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,543,Modeling and Economic Theory (IIFET 2000),1957/30468,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,566,Posters (IIFET 2000),1957/35500,,,,Conference Proceedings or Journal,,
172,"10th IIFET Conference, July 10-14, 2000, Corvallis, Oregon, U.S.A.",1957/30554,546,Special Topics,1957/30471,,,,Conference Proceedings or Journal,,
201,"11th IIFET Conference, August 19-22, 2002, Wellington, New Zealand",1957/56900,669,Conference Materials (IIFET 2002),1957/56902,,,,Conference Proceedings or Journal,,
201,"11th IIFET Conference, August 19-22, 2002, Wellington, New Zealand",1957/56900,670,Conference Papers and Presentations (IIFET 2002),1957/56903,,,,Conference Proceedings or Journal,,
197,"12th IIFET Conference, July 20-30, 2004, Tokyo, Japan",1957/56398,665,Conference Materials (IIFET 2004),1957/56551,,,,Conference Proceedings or Journal,,
197,"12th IIFET Conference, July 20-30, 2004, Tokyo, Japan",1957/56398,664,Conference Papers and Presentations (IIFET 2004),1957/56550,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,611,Aquaculture (IIFET 2006),1957/43176,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,609,Conference Materials (IIFET 2006),1957/43174,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,614,Fish and Aquaculture Sectors' Development (IIFET 2006),1957/43179,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,615,Fishery Management (IIFET 2006),1957/43180,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,612,Markets and Trade (IIFET 2006),1957/43177,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,613,Modeling and Economic Theory (IIFET 2006),1957/43178,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,620,Policy Day (IIFET 2006),1957/44859,,,,Conference Proceedings or Journal,,
185,"13th IIFET Conference, July 11-14, 2006, Portsmouth, UK",1957/43173,616,Special Topics (IIFET 2006),1957/43181,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,571,Aquaculture (IIFET 2008),1957/36192,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,568,Conference Materials (IIFET 2008),1957/36186,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,574,Fish and Aquaculture Sectors' Development (IIFET 2008),1957/36195,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,569,Fishery Management (IIFET 2008),1957/36187,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,570,Markets and Trade (IIFET 2008),1957/36191,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,572,Modeling and Economic Theory (IIFET 2008),1957/36193,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,575,Posters (IIFET 2008),1957/36196,,,,Conference Proceedings or Journal,,
176,"14th IIFET Conference, July 22-25, 2008, Nha Trang, Vietnam",1957/36185,573,Special Topics (IIFET 2008),1957/36194,,,,Conference Proceedings or Journal,,
180,"15th IIFET Conference, July 13-16, 2010, Montpellier, France",1957/38399,593,Conference Papers and Presentations (IIFET 2010),1957/38400,,,,Conference Proceedings or Journal,,
174,"16th IIFET Conference, July 16-20, 2012, Dar es Salaam, Tanzania",1957/32180,691,Conference Materials (IIFET 2012),1957/59946,,,,Conference Proceedings or Journal,,
174,"16th IIFET Conference, July 16-20, 2012, Dar es Salaam, Tanzania",1957/32180,558,Conference Papers and Presentations (IIFET 2012),1957/32231,,,,Conference Proceedings or Journal,,
195,"17th IIFET Conference, July 7-11, 2014, Brisbane, Australia",1957/52603,655,Conference Materials (IIFET 2014),1957/52888,,,,Conference Proceedings or Journal,,
195,"17th IIFET Conference, July 7-11, 2014, Brisbane, Australia",1957/52603,653,Conference Papers and Presentations (IIFET 2014),1957/52605,,,,Conference Proceedings or Journal,,
210,"18th IIFET Conference, July 11-15, 2016, Aberdeen, Scotland, UK",1957/59918,688,Conference Materials (IIFET 2016),1957/59920,,,,Conference Proceedings or Journal,,
210,"18th IIFET Conference, July 11-15, 2016, Aberdeen, Scotland, UK",1957/59918,687,Conference Papers and Presentations (IIFET 2016),1957/59919,,,,Conference Proceedings or Journal,,
200,"8th IIFET Conference, July 1-4, 1996, Marrakech, Morocco",1957/56895,667,Conference Materials (IIFET 1996),1957/56896,,,,Conference Proceedings or Journal,,
200,"8th IIFET Conference, July 1-4, 1996, Marrakech, Morocco",1957/56895,668,Conference Papers and Presentations (IIFET 1996),1957/56897,,,,Conference Proceedings or Journal,,
42,Baseball,1957/3925,91,Media Guides (Baseball),1957/3926,,,,Default,,
182,Center for Genome Research & Biocomputing,1957/42305,601,Faculty Research Publications (Center for Genome Research & Biocomputing),1957/42306,,,Center for Geonome Research and Biocomputing,Default,,
153,Chinese Disinterment Documents,1957/21890,513,1928 Disinterment,1957/28784,,,,Default,,
153,Chinese Disinterment Documents,1957/21890,466,"Applications, Permits, Correspondence and Notes",1957/21955,,,,Default,,
153,Chinese Disinterment Documents,1957/21890,477,Legal Documents,1957/22264,,,,Default,,
153,Chinese Disinterment Documents,1957/21890,508,Shipping Documents,1957/28681,,,,Default,,
103,College of Agricultural Sciences,1957/13588,464,Agricultural Experiment Station Reports and Annual Reports,1957/21591,Agricultural Sciences,,,Administrative Report or Publication,,
103,College of Agricultural Sciences,1957/13588,685,Coastal Oregon Marine Experiment Station,1957/59643,Agricultural Sciences,,,Administrative Report or Publication,,
103,College of Agricultural Sciences,1957/13588,288,Faculty Research Publications (College of Agricultural Sciences),1957/13589,Agricultural Sciences,,,Default,,
103,College of Agricultural Sciences,1957/13588,602,Small Farms,1957/42320,Agricultural Sciences,,,Default,,
62,College of Business,1957/8148,317,Faculty Research Publications (College of Business),1957/14600,College of Buisiness,,,Default,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,36,CEOAS Reports,1957/1316,"College of Earth, Ocean, and Atomspheric Sciences",,,Administrative Report or Publication,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,99,"Data Report Series (College of Earth, Ocean, and Atmospheric Sciences)",1957/6526,"College of Earth, Ocean, and Atomspheric Sciences",,,Technical Report,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,483,"Faculty Research Publications (College of Earth, Ocean, and Atmospheric Sciences)",1957/23252,"College of Earth, Ocean, and Atomspheric Sciences",,,Default,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,35,Marine Resource Management,1957/1315,"College of Earth, Ocean, and Atomspheric Sciences",,,Technical Report,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,146,"Progress Reports (College of Earth, Ocean, and Atmospheric Sciences)",1957/8653,"College of Earth, Ocean, and Atomspheric Sciences",,,Technical Report,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,110,"Reference Series (College of Earth, Ocean, and Atmospheric Sciences)",1957/7482,"College of Earth, Ocean, and Atomspheric Sciences",,,Technical Report,,
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,41,"Theses, Dissertations and Student Research Papers (College of Earth, Ocean and Atmospheric Sciences)",1957/1339,"College of Earth, Ocean, and Atomspheric Sciences",,,,,Need information about types of items in collection
14,"College of Earth, Ocean, and Atmospheric Sciences",1957/1309,681,William Pearcy Field Journal Collection,1957/58895,"College of Earth, Ocean, and Atomspheric Sciences",,,Technical Report,,
133,College of Education,1957/18087,461,Faculty Research Publications (Education),1957/21414,College of Education,,,Default,,
133,College of Education,1957/18087,412,"Theses, Dissertations, Portfolios and Student Research Papers (Education)",1957/18090,College of Education,,,,,Need information about types of items in collection
53,College of Forestry/Oregon Forest Research Laboratory (FRL),1957/7530,255,Faculty Research Publications (College of Forestry & Oregon Forest Research Laboratory),1957/12727,College of Forestry,,,Default,,
53,College of Forestry/Oregon Forest Research Laboratory (FRL),1957/7530,284,Focus on Forestry,1957/13521,College of Forestry,,,Default,,
