collection_name,collection_handle,Admin Set
Aquaculture (IIFET 2000),1957/30469,Default
Conference Materials (IIFET 2000),1957/30462,Default
Conference Papers and Presentations (IIFET 2000),1957/30214,Default
Fish and Aquaculture Sectors' Development (IIFET 2000),1957/30464,Default
Fishery Management (IIFET 2000),1957/30466,Default
Fishing Sector Behavior and Activities (IIFET 2000),1957/30470,Default
Markets and Trade (IIFET 2000),1957/30467,Default
Modeling and Economic Theory (IIFET 2000),1957/30468,Default
Posters (IIFET 2000),1957/35500,Default
Special Topics,1957/30471,Default
Conference Materials (IIFET 2002),1957/56902,Default
Conference Papers and Presentations (IIFET 2002),1957/56903,Default
Conference Materials (IIFET 2004),1957/56551,Default
Conference Papers and Presentations (IIFET 2004),1957/56550,Default
Aquaculture (IIFET 2006),1957/43176,Default
Conference Materials (IIFET 2006),1957/43174,Default
Fish and Aquaculture Sectors' Development (IIFET 2006),1957/43179,Default
Fishery Management (IIFET 2006),1957/43180,Default
Markets and Trade (IIFET 2006),1957/43177,Default
Modeling and Economic Theory (IIFET 2006),1957/43178,Default
Policy Day (IIFET 2006),1957/44859,Default
Special Topics (IIFET 2006),1957/43181,Default
Aquaculture (IIFET 2008),1957/36192,Default
Conference Materials (IIFET 2008),1957/36186,Default
Fish and Aquaculture Sectors' Development (IIFET 2008),1957/36195,Default
Fishery Management (IIFET 2008),1957/36187,Default
Markets and Trade (IIFET 2008),1957/36191,Default
Modeling and Economic Theory (IIFET 2008),1957/36193,Default
Posters (IIFET 2008),1957/36196,Default
Special Topics (IIFET 2008),1957/36194,Default
Conference Papers and Presentations (IIFET 2010),1957/38400,Default
Conference Materials (IIFET 2012),1957/59946,Default
Conference Papers and Presentations (IIFET 2012),1957/32231,Default
Conference Materials (IIFET 2014),1957/52888,Default
Conference Papers and Presentations (IIFET 2014),1957/52605,Default
Conference Materials (IIFET 2016),1957/59920,Default
Conference Papers and Presentations (IIFET 2016),1957/59919,Default
Conference Materials (IIFET 1996),1957/56896,Default
Conference Papers and Presentations (IIFET 1996),1957/56897,Default
Media Guides (Baseball),1957/3926,Default
Faculty Research Publications (Center for Genome Research & Biocomputing),1957/42306,Default
1928 Disinterment,1957/28784,Default
"Applications, Permits, Correspondence and Notes",1957/21955,Default
Legal Documents,1957/22264,Default
Shipping Documents,1957/28681,Default
Agricultural Experiment Station Reports and Annual Reports,1957/21591,Default
Coastal Oregon Marine Experiment Station,1957/59643,Default
Faculty Research Publications (College of Agricultural Sciences),1957/13589,Default
Small Farms,1957/42320,Default
Faculty Research Publications (College of Business),1957/14600,Default
CEOAS Reports,1957/1316,Technical Report
"Data Report Series (College of Earth, Ocean, and Atmospheric Sciences)",1957/6526,Technical Report
"Faculty Research Publications (College of Earth, Ocean, and Atmospheric Sciences)",1957/23252,Default
Marine Resource Management,1957/1315,Technical Report
"Progress Reports (College of Earth, Ocean, and Atmospheric Sciences)",1957/8653,Technical Report
"Reference Series (College of Earth, Ocean, and Atmospheric Sciences)",1957/7482,Technical Report
"Theses, Dissertations and Student Research Papers (College of Earth, Ocean and Atmospheric Sciences)",1957/1339,
William Pearcy Field Journal Collection,1957/58895,Technical Report
Faculty Research Publications (Education),1957/21414,Default
"Theses, Dissertations, Portfolios and Student Research Papers (Education)",1957/18090,
Faculty Research Publications (College of Forestry & Oregon Forest Research Laboratory),1957/12727,Default
Focus on Forestry,1957/13521,Default
Focus on Forestry Articles,1957/29407,Default
Notable Notes: Research Briefs for K-12,1957/57294,Default
Oregon State Forester,1957/57475,Default
OSU College Forests,1957/19960,Default
Presentations and Posters (College of Forestry/Oregon Forest Research Laboratory),1957/38303,Default
Starker Lecture Series,1957/22500,Default
Studies of Oregon's climate for the forest industry. Climatological note,1957/57293,Default
