Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
, ,MISSING GRADUATION YEAR,,,,
,1902,MISSING DEGREE,,,,
,1903,MISSING DEGREE,,,,
,1904,MISSING DEGREE,,,,
,1907,MISSING DEGREE,,,,
,1908,MISSING DEGREE,,,,
,1909,MISSING DEGREE,,,,
,1910,MISSING DEGREE,,,,
,1912,MISSING DEGREE,,,,
,1917,MISSING DEGREE,,,,
,1936,MISSING DEGREE,,,,
,1937,MISSING DEGREE,,,,
,1938,MISSING DEGREE,,,,
,1939,MISSING DEGREE,,,,
,1940,MISSING DEGREE,,,,
,1942,MISSING DEGREE,,,,
,1943,MISSING DEGREE,,,,
,1948,MISSING DEGREE,,,,
,1951,MISSING DEGREE,,,,
,1953,MISSING DEGREE,,,,
,1954,MISSING DEGREE,,,,
,1957,MISSING DEGREE,,,,
,1958,MISSING DEGREE,,,,
,1960,MISSING DEGREE,,,,
,1961,MISSING DEGREE,,,,
,1962,MISSING DEGREE,,,,
,1963,MISSING DEGREE,,,,
,1964,MISSING DEGREE,,,,
,1969,MISSING DEGREE,,,,
,1970,MISSING DEGREE,,,,
,1973,MISSING DEGREE,,,,
,1974,MISSING DEGREE,,,,
,1975,MISSING DEGREE,,,,
,1976,MISSING DEGREE,,,,
,1977,MISSING DEGREE,,,,
,1978,MISSING DEGREE,,,,
,1979,MISSING DEGREE,,,,
,1980,MISSING DEGREE,,,,
,1981,MISSING DEGREE,,,,
,1983,MISSING DEGREE,,,,
,1984,MISSING DEGREE,,,,
,1985,MISSING DEGREE,,,,
,1986,MISSING DEGREE,,,,
,1987,MISSING DEGREE,,,,
,1988,MISSING DEGREE,,,,
,1989,MISSING DEGREE,,,,
,1992,MISSING DEGREE,,,,
,1993,MISSING DEGREE,,,,
,1994,MISSING DEGREE,,,,
,1998,MISSING DEGREE,,,,
,2002,MISSING DEGREE,,,,
,2003,MISSING DEGREE,,,,
,2004,MISSING DEGREE,,,,
,2005,MISSING DEGREE,,,,
,2006,MISSING DEGREE,,,,
,2007,MISSING DEGREE,,,,
,2008,MISSING DEGREE,,,,
,2010,MISSING DEGREE,,,,
,2012,MISSING DEGREE,,,,
,2013,MISSING DEGREE,,,,
Adult Education,1989,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Adult Education,1990,NO URIS FOUND FOR THIS DEGREE AND YEAR,Adult Education,http://opaquenamespace.org/ns/osuAcademicUnits/hbrEnAJQ,http://opaquenamespace.org/ns/osuAcademicUnits/hbrEnAJQ,
Adult Education,1995,NO URIS FOUND FOR THIS DEGREE AND YEAR,Adult Education,http://opaquenamespace.org/ns/osuAcademicUnits/hbrEnAJQ,http://opaquenamespace.org/ns/osuAcademicUnits/hbrEnAJQ,
Adult Education,2001,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Adult Education,2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,Adult Education and Higher Education Leadership,http://opaquenamespace.org/ns/osuAcademicUnits/jvMcM7H2,http://opaquenamespace.org/ns/osuAcademicUnits/jvMcM7H2,
Aeronautical Engineering,1946,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering and Industrial Arts,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,
Aeronautical Engineering,1948,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering and Industrial Arts,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,
Aeronautical Engineering,1949,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Engineering and Industrial Arts,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,http://opaquenamespace.org/ns/osuAcademicUnits/ZaTFzxWC,
